ticker
1INCH-USD
AAVE-USD
ADA-USD
ALGO-USD
ATOM-USD
AVAX-USD
BCH-USD
BTC-USD
COMP-USD
CRV-USD
DOGE-USD
DOT-USD
EOS-USD
ETH-USD
FIL-USD
LINK-USD
LTC-USD
MATIC-USD
MKR-USD
SNX-USD
SOL-USD
SUSHI-USD
UMA-USD
UNI-USD
XMR-USD
YFI-USD
ZEC-USD
ZRX-USD
